Model,Num_Features,Features,R-squared,RMSE
Random Forest,4,"R&D Spend, Marketing Spend, State_California, State_New York",0.9323527722313889,7401.363986088651
Random Forest,5,"R&D Spend, Marketing Spend, State_California, State_Florida, State_New York",0.9301698145753035,7519.835813479133
Random Forest,2,"R&D Spend, Marketing Spend",0.9293839947653608,7562.0289152534115
Linear Regression,1,R&D Spend,0.9265108109341951,7714.334890830185
Linear Regression,2,"R&D Spend, State_New York",0.9264390221258125,7718.101892038499
Ridge (L2),2,"R&D Spend, State_New York",0.9252845541541704,7778.43016479936
Random Forest,3,"R&D Spend, Marketing Spend, State_California",0.9252800051482858,7778.6669537633
Ridge (L2),1,R&D Spend,0.9251109037482517,7787.464064184688
Lasso (L1),2,"R&D Spend, State_California",0.9250767866951288,7789.2377207378
Lasso (L1),3,"R&D Spend, State_California, State_New York",0.9250767866951288,7789.2377207378
Lasso (L1),2,"R&D Spend, State_New York",0.9250767866951288,7789.2377207378
Lasso (L1),1,R&D Spend,0.9250767866951288,7789.2377207378
Lasso (L1),2,"R&D Spend, State_Florida",0.9249311138667905,7796.806331563324
Lasso (L1),3,"R&D Spend, State_California, State_Florida",0.9249311138667905,7796.806331563324
Lasso (L1),4,"R&D Spend, State_California, State_Florida, State_New York",0.9249311138667905,7796.806331563324
Lasso (L1),3,"R&D Spend, State_Florida, State_New York",0.9249311138667905,7796.806331563324
Random Forest,4,"R&D Spend, Marketing Spend, State_California, State_Florida",0.9244476168203505,7821.874522630034
Gradient Boosting,3,"R&D Spend, State_California, State_New York",0.9244008320335153,7824.29594259557
Gradient Boosting,4,"R&D Spend, State_California, State_Florida, State_New York",0.9240786131032466,7840.952578165752
Gradient Boosting,4,"R&D Spend, Marketing Spend, State_California, State_Florida",0.9238916783382612,7850.599698368754
Gradient Boosting,2,"R&D Spend, State_New York",0.9235162539444544,7869.938457345444
Linear Regression,2,"R&D Spend, State_California",0.9234489303913178,7873.401387082193
Lasso (L1),3,"R&D Spend, Marketing Spend, State_California",0.9227988594269679,7906.761139453921
Lasso (L1),3,"R&D Spend, Marketing Spend, State_New York",0.9227988594269679,7906.761139453921
Lasso (L1),5,"R&D Spend, Marketing Spend, State_California, State_Florida, State_New York",0.9227988594269679,7906.761139453921
Lasso (L1),2,"R&D Spend, Marketing Spend",0.9227988594269679,7906.761139453921
Lasso (L1),3,"R&D Spend, Marketing Spend, State_Florida",0.9227988594269679,7906.761139453921
Lasso (L1),4,"R&D Spend, Marketing Spend, State_Florida, State_New York",0.9227988594269679,7906.761139453921
Lasso (L1),4,"R&D Spend, Marketing Spend, State_California, State_Florida",0.9227988594269679,7906.761139453921
Lasso (L1),4,"R&D Spend, Marketing Spend, State_California, State_New York",0.9227988594269679,7906.761139453921
Gradient Boosting,3,"R&D Spend, Marketing Spend, State_California",0.9226683532309763,7913.441387883087
Linear Regression,2,"R&D Spend, State_Florida",0.9225825766403365,7917.828982913803
Linear Regression,3,"R&D Spend, State_California, State_Florida",0.9220234009607907,7946.372243720395
Linear Regression,4,"R&D Spend, State_California, State_Florida, State_New York",0.9220234009607907,7946.372243720393
Linear Regression,3,"R&D Spend, State_Florida, State_New York",0.9220234009607906,7946.372243720397
Linear Regression,3,"R&D Spend, State_California, State_New York",0.9220234009607906,7946.372243720399
Gradient Boosting,3,"R&D Spend, State_California, State_Florida",0.9215424078422739,7970.8428820700865
Ridge (L2),2,"R&D Spend, State_Florida",0.9214036764963556,7977.886925429897
Ridge (L2),2,"R&D Spend, State_California",0.9207102186154853,8013.004211300312
Random Forest,4,"R&D Spend, Marketing Spend, State_Florida, State_New York",0.9202278793800103,8037.339794984229
Ridge (L2),3,"R&D Spend, State_Florida, State_New York",0.920126554224917,8042.442619471881
Ridge (L2),3,"R&D Spend, State_California, State_New York",0.9201036072433159,8043.597800195727
Ridge (L2),4,"R&D Spend, State_California, State_Florida, State_New York",0.919956738830772,8050.987420662637
Ridge (L2),3,"R&D Spend, State_California, State_Florida",0.919948560322407,8051.398719409975
Random Forest,3,"R&D Spend, Marketing Spend, State_New York",0.9195008121714181,8073.884086522404
Gradient Boosting,4,"R&D Spend, Marketing Spend, State_California, State_New York",0.9191292186472628,8092.497620209579
Random Forest,3,"R&D Spend, Marketing Spend, State_Florida",0.9191131757572314,8093.300262456861
Random Forest,3,"R&D Spend, State_California, State_New York",0.9190278383850528,8097.5684415671785
Gradient Boosting,2,"R&D Spend, State_California",0.9178496247429534,8156.268922390796
